parc,categorie,theme,adresse,ville,code postal,departement,long,lat,titre,telephone 1,site web,presentation courte,presentation longue,acces PMR,acces transports en commun,Curiosités,Point de départ,Carte web,Distance,Durée,Public,Curiosité 1,Curiosité 2,Curiosité 3,Capacité,horaires,tarif,gratuité,guide
Haute Vallée de Chevreuse,artisanat,Horloger,"20, rue Raimond Poincaré",Rambouillet,78120,78,48.646519, 1.819241,Yves Préher,01 34 85 67 16,NC,,,non,non,,,,,,,,,,,,,,
Haute Vallée de Chevreuse,artisanat,Créations florales,"10, rue des Noisetiers",Magny-les-Hameaux,78114,78,48.7187324, 2.0757885,Flore et compagnie,06 62 35 84 15,http://www.floreetcompagnie.fr,"Entreprise artisanale, Flore & compagnie propose au fil des saisons des ambiances décoratives autour des fleurs, du jardin et de la décoration d’intérieur...",,non,non,,,,,,,,,,,,,,
Haute Vallée de Chevreuse,artisanat,Travail du bois,"9, rue du Village",La Celle-les-Bordes,78120,78,48.6418597, 1.9653309,Guillaume Boule,01 34 85 12 11,www.menuiserie-boule.fr,Création de meubles réalisés en chêne de la forêt de Rambouillet.,,non,non,,,,,,,,,,,,,,
Haute Vallée de Chevreuse,artisanat,Poterie,"43, rue d'Ors",Châteaufort,78117,78,48.7318794, 2.0978971,Monique Carrière,01 39 56 23 06,http://poteriemo.free.fr,"Des poteries agréables à voir et à utiliser, et quelques tableaux-mosaïques pour décorer la maison.",,non,non,,,,,,,,,,,,,,
Haute Vallée de Chevreuse,balades,A pied,"11, rue de la mairie",Saint-Forget,78720,78,48.709997, 1.993435,Chez Cyrano de Bergerac,NC,NC,,"Composée de trois villages ruraux et de plusieurs petits hameaux aux maisons anciennes en meulière ou contemporaine, la commune de Saint-Forget s'étire au fil d'un coteau, entre le plateau agricole du Mesnil-Sevin et la vallée boisée de l'Yvette. Cyrano de Bergerac y passa une partie de sa jeunesse.",non,non,". Quelques maisons remarquables, dont celle édifiée en 1957 par André Wogenscky, collaborateur de l'architecte Le Corbusier.
. D'immenses blocs de grès, dressés parfois tels des menhirs, qui couvrent la butte.
. Le château de Mauvières, offert au XVe siècle à Raymond de la Rivière de la Martigne en récompense de son aide pour reprendre Bergerac aux Anglais.",Départ sur le parking de la mairie de Saint-Forget (78),https://mapsengine.google.com/map/viewer?mid=zVoqBjKkBrAk.klPrqCNmvIfE,9,2h30,,,,,,,,,
Haute Vallée de Chevreuse,balades,A pied,,Rambouillet,78120,78,48.6456, 1.818642,Les fabuleux trésors du Parc de Rambouillet,NC,NC,,"Dans un environnement calme et forestier, le domaine de Rambouillet offre des paysages surprenants, une biodiversité préservée et de multiples traces du passé.
Le parc du château d’une part a été aménagé au XVIIe siècle sur plus de 100 hectares d'espaces verts et de forêt agrémentés d'un vaste plan d'eau, de canaux, d'un jardin à la française, et d'un autre à l'anglaise. Le Grand parc, d’aspect plus rural, couvre 650 hectares qui comprennent la Bergerie nationale et ses célèbres mérinos, ferme expérimentale construite en 1785 par Louis XVI, la Laiterie de la Reine, une jolie fabrique construite en 1786, la chaumière aux coquillages et de vastes espaces boisés. Un détour par la boutique gourmande de la Bergerie s’impose !",non,oui,,Dans la parc du château de Rambouillet (78),https://mapsengine.google.com/map/viewer?mid=zVoqBjKkBrAk.kR8n1wcNkxlw,8,2h30,,,,,,,,,
Haute Vallée de Chevreuse,balades,A vélo,,Dampierre-en-Yvelines,78720,78,48.720121, 1.95949,Vers l'abbaye de Port Royal,NC,NC,,"Cette balade, ponctuée de deux belles montées et autant de descentes difficiles, chemine de l’église rurale de Lévis-Saint-Nom, à l'abbaye de Port-Royal des Champs (Magny-les-Hameaux) et aux hauteurs de Chevreuse, qui offrent des panoramas remarquables. Au milieu du XVIIe siècle, Jean Racine parcourait régulièrement le chemin bucolique et forestier qui relie l’abbaye au château-fort de la Madeleine et qui inspirait le poète : les vers inscrits sur des bornes le long du parcours invitent à une lecture sensible des paysages traversés.",non,non,". L'église de Lévis, entourée de son cimetière en terrasse
. Les ruine de l'Abbaye de Port-Royal, symbole du Jansénisme, rasée en 1709 sur ordre de Louis XIV
. Le chemin Jean-Racine, qui évoque les trajets du poète entre Port-Royal, où il a été élevé, et Chevreuse, où il rencontrait son oncle",Parking du sentier découverte de Maincourt à Dampierre.,https://mapsengine.google.com/map/viewer?mid=zVoqBjKkBrAk.k3mIq2s5vWZM,"19,8","2,30 h",,,,,,,,,
Haute Vallée de Chevreuse,balades,A pied,,Dampierre-en-Yvelines,78720,78,48.70655, 1.9835,Villages par monts et par vaux,NC,NC,,"De Fourcherolles à Maincourt-sur-Yvette, les chemins de traverse permettent de découvrir l’histoire rurale locale : pont en ruine, fermes, cultures céréalières, prés et vergers, le tout agrémenté de belles perspectives paysagères. Une visite du proche parc du château de Dampierre peut compléter agréablement cette journée de balade.",oui,non,". La ferme de Valence, organisée autour d'une immense cour, et représentative des grandes fermes d'Île-de-France
. Les vestiges de l'arche d'un pont en pierre, ancien mur d'enceinte du domaine de Valence
. Le cimetière de Maincourt-sur-Yvette, qui abrite des sépultures de carrières dominées par des monolithes de grès",Suivre les repères bleus depuis la maison de fer à Dampierre-en-Yvelines.,https://mapsengine.google.com/map/viewer?mid=zVoqBjKkBrAk.kDKhJZjdKVOA,"5,3",2h,,,,,,,,,
Haute Vallée de Chevreuse,hebergement et restauration,gîte,"6, chemin de Chambernoux",La Celle-les-Bordes,78720,78,48.642752, 1.966916,La Couette sous les Bois,01 34 85 23 48,www.chambresdhotes.org,Maison au cœur des bois.,,non,non,,,,,,,,,,5 personnes,,,,
Haute Vallée de Chevreuse,hebergement et restauration,gîte,"41, rue de la Porte-de-Paris",Chevreuse,78460,78,48.7072835, 2.050176,La Maison Haute,06 81 77 80 82,http://la.maison.haute.free.fr,"Situé dans le bourg, la Maison Haute est une maison bourgeoise du début du XXe siècle construite en pierre meulière.",,non,non,,,,,,,,,,3 personnes,,,,
Haute Vallée de Chevreuse,hebergement et restauration,restaurant,Route des Petites Yvelines,Les Bréviaires,78610,78,48.7065996, 1.7567945,Au relais d'Anje,01 30 46 35 92,http://www.aurelaisdanje.fr/,,,non,non,,,,,,,,,,NC,,,,
Haute Vallée de Chevreuse,hebergement et restauration,chambre d'hôtes,"19, rue du Moulin de Béchereau",La Celle-les-Bordes,78720,78,48.642752, 1.966916,La Tour aux Papillons,06 75 09 08 42,http://www.latourauxpapillons.fr,Maison du XVIIe siècle  avec vue sur la campagne.,,non,non,,,,,,,,,,2 personnes,,,,
Haute Vallée de Chevreuse,hebergement et restauration,restaurant,"1, rue de l’Eglise",Rochefort-en-Yvelines,78730,78,48.5852806, 1.9889461,Brigandville,01 30 41 48 31,http://www.brigandville.com/,Restaurant traditionnel,,non,non,,,,,,,,,,NC,,,,
Haute Vallée de Chevreuse,hebergement et restauration,hôtel,"73, rue de la Louvière",Vieille-Eglise-en-Yvelines,78120,78,48.6447453, 1.8453766,Best Western Amarys,01 34 85 62 62,www.hotel-rambouillet.fr,"Cadre propice aux loisirs comme aux affaires. Piscine (ouverte selon la saison), tennis. A vingt-cinq minutes à pied du centre-ville et des sites touristiques.",,non,non,,,,,,,,,,56 chambres,,,,
Haute Vallée de Chevreuse,hebergement et restauration,restaurant,"4, place de la Mairie",Clairefontaine-en-Yvelines,78120,78,48.6124833, 1.9091331,Le Rosé de Touraine,01 34 84 50 08,NC,Restaurant traditionnel,,non,non,,,,,,,,,,NC,,,,
Haute Vallée de Chevreuse,hebergement et restauration,,"20, Grande Rue",Dampierre-en-Yvelines,78720,78,48.7047874, 1.9858637,L’Art d’Oise,09 50 60 97 35,NC,,,non,non,,,,,,,,,,NC,,,,
Haute Vallée de Chevreuse,hebergement et restauration,restaurant,"9, place Marie Roux",Rambouillet,78120,78,48.6447781, 1.8201406,La Cantine du Roy,01 34 83 29 88,http://www.lacantineduroy.fr/,Restaurant gastronomique,,non,non,,,,,,,,,,NC,,,,
Haute Vallée de Chevreuse,hebergement et restauration,gîte,"34, rue Antoine Lemaistre",Magny-les-Hameaux,78114,78,48.739034, 2.0368086,Le Petit Nailly,06 18 82 00 82,http://www.petit-nailly.com,"Dans une ancienne bergerie en meulière, 3 gîtes tout équipés pour accueillir chacun 4 à 5 personnes.",,non,non,,,,,,,,,,14 personnes,,,,
Haute Vallée de Chevreuse,hebergement et restauration,restaurant,"2, rue de Paris",Le Perray-en-Yvelines,78610,78,48.7097793, 1.8723266,L’Auberge de l’Artoire,01 30 46 30 92,http://www.auberge-artoire.fr/,Restaurant traditionnel,,non,non,,,,,,,,,,NC,,,,
Haute Vallée de Chevreuse,hebergement et restauration,hôtel,"5, rue de Port Royal",Saint-Lambert-des-Bois,78470,78,48.7332837, 2.0194432,Manoir de Sauvegrain,01 30 64 60 03,http://www.lemanoirdesauvegrain.fr,"Situé dans un cadre prestigieux, propice au repos et à la sérénité.",,non,non,,,,,,,,,,29 chambres,,,,
Haute Vallée de Chevreuse,loisirs,Cycles,"8,rue du Petit Parc",Rambouillet,78120,78,48.642725, 1.830583,ABC Location,06 68 21 05 05,http://www.abcvelos.com,Location de cycles,Locations de cycles pour toute la famille à proximité de la gare SNCF et des pistes cyclables.,non,non,,,,,,Famille,,,,,,,NC,
Haute Vallée de Chevreuse,loisirs,Cycles,Maison Forestière de la Porte de Saint-Léger,Rambouillet,78120,78,48.6738429, 1.808064,Loca Cycles,06 07 64 15 87,http://www.locacycles.com,Location de cycles,Ce loueur est situé au départ de la piste cyclable qui parcourt la forêt de Rambouillet.,non,non,,,,,,Famille,,,,,,,NC,
Haute Vallée de Chevreuse,loisirs,Nature,Bois de Montmarre,Janvry,91640,91,48.6447615, 2.1552611,Parc Animalier de Janvry,01 64 90 51 63,http://janvryvillage.free.fr/,,"La Commune de Janvry a acquis et aménagé le Bois de Montmarre, en y aménageant un deuxième étang et une aire de jeux pour enfants. Plus de 83 animaux peuplent le parc, par rotation, depuis les vaches africaines, les wallabys blancs, les étranges cochons hongrois, les lamas, moutons, les ânes d’Ingrid Bergman, dromadaires...",non,non,,,,,,Famille,,,,,,,NC,
Haute Vallée de Chevreuse,loisirs,Autour du cheval,"86, rue de Groussay",Rambouillet,78517,78,48.655358, 1.821304,Poney-club de Rambouillet,06 80 01 14 76,NC,"Séances hebdomadaires, stages à la journée ou à la semaine, cours particuliers, promenades, voltige…dès 2 ans.","Le centre équestre invite toute l'année à la découverte du poney et du cheval au pied de la forêt de Rambouillet.
Séances hebdomadaires, stages à la journée ou à la semaine, cours particuliers, promenades, voltige… dès 2 ans.",non,non,,,,,,Famille,,,,,,,NC,
Haute Vallée de Chevreuse,patrimoine,Lieu d'histoire,Rue du Château,Saint-Jean-de-Beauregard,91940,91,48.6638703105, 2.1630191803,Domaine de Saint-Jean-de-Beauregard,01 60 12 00 01,http://www.domsaintjeanbeauregard.com,"Sertie dans un écrin de terres et de bois, cette propriété familiale a conservé tout le charme, l'esprit et l'élégance de son environnement du XVIIe siècle.","Construit vers 1612 et restauré vers 1760 et 1880, il a gardé les principaux éléments de sa conception d'origine et a conservé sa vocation agricole avec son potager, ses communs et son pigeonnier à échelle tournate. Dans le parc aménagé au XVIIe siècle, le potager de deux hectares a été rétabli dans ses tracés d'origine et a gardé ses serres et son fruitier pour conserver les grappes de raisin pour l'hiver.",non,non,,,,,,,,,,,Du 15/03 au 15/11 - Dimanche et jours fériés : 14h-18h.,"Potager, pigeonnier et visite libre du parc : 8 € (tarif réduit : 6 €).",NC,NC
Haute Vallée de Chevreuse,patrimoine,Espace naturel,Rue d'Yte,Saint-Rémy-L'Honoré,78690,78,48.764418, 1.888784,Jardin Yili,01 34 87 97 07,http://www.jardinyili.com,"Conçu en trois parties, le Jardin Yili de M. et Mme Kang est le premier jardin traditionnel chinois présenté en France.","Le Jardin Yili de M. et Mme Kang est le premier jardin traditionnel chinois présenté en France. Conçu en trois parties, on y découvre sur six hectares le Jardin lettré, le jardin des pivoines et celui des bonsaïs.",oui,oui,,,,,,,,,,,De mars à novembre - Samedi et dimanche : 10h-19h. Visite de groupes sur rendez-vous.,. Accès gratuit au parc.,Oui,Oui
Haute Vallée de Chevreuse,patrimoine,Musée,Rue de Nuisement,Saint-Arnoult-en-Yvelines,78730,78,48.572863, 1.950654,Musée des Arts et traditions populaires,01 30 59 31 99,NC,"Installé au Moulin Neuf, ce musée communal se compose de cinq salles thématiques sur la meunerie, l’histoire de la commune, les ruralités, les vieux outils et sur les petits et anciens métiers.","Crée en 1974 et animé par la Société Historique de Saint Arnoult-en-Yvelines, ce musée communal installé au Moulin-neuf se compose de cinq salles thématiques sur la meunerie, l’histoire de la commune, les ruralités, les vieux outils et sur les petits et anciens métiers (menuisiers, tanneurs, modistes, couturiers, fileuses...). Le visiteur peut aussi y admirer une très belle collection de minéraux entièrement référencés et étiquetés.",non,non,,,,,,,,,,,"Du 01/04 au 30/09 - Le dernier dimanches de chaque mois, 14h30-18h","2€ / Groupes : 1,50€ par personne (10 personnes minimum) / Gratuit pour les - de 18 ans.",NC,Oui
Haute Vallée de Chevreuse,patrimoine,Musée,Accès au parc par la D91,Magny-les-Hameaux,78114,78,48.744417676, 2.01599121094,Port-Royal des Champs,01 39 30 72 72,www.port-royal-des-champs.eu,Un vaste domaine forestier dans lequel se trouve le site des ruines de l'abbaye de Port Royal des Champs et le site musée national de Port Royal des Champs.,"Dans la ferme la plus proche de l'abbaye sont exposés des peintures, des livres, des dessins et des gravures : on y découvre l'histoire du jansénisme et de l'abbaye, ses « Solitaires » et ses Petites Écoles (où Racine fit une partie de son éducation).
Un verger, reconstruit selon les principes agronomiques du père d'Angélique Arnauld, présente plusieurs dizaines d'espèces anciennes de poiriers, de pruniers et de pêchers ; une vigne pré-phylloxérique a été replantée sur le coteau.
Enfin, subsistent également un pigeonnier du XVe siècle et le canal (300 mètres de long) creusé au Moyen-Âge. Un jardin, un herbier et un rucher rappellent l'importance des activités agricoles dans une abbaye cistercienne.",non,non,,,,,,,,,,,". Du 01/11 au 31/03 : du lundi au vendredi, 10h-12h et 14h-17h30 / samedi, dimanche et jours fériés, 10h30-18h
. Du 01/04 au 31/10 : du lundi au vendredi, 10h30-12h et 14h-18h / samedi, dimanche et jours fériés, 10h30-18h30","4,50€ (tarif réduit : 3,00€) / Groupes : 4,00€ par personne (10 personnes minimum) / Parc seul : 1,00€ / Gratuit le 1er dimanche de chaque mois.",NC,NC
Haute Vallée de Chevreuse,produits,Fruits / Légumes,14 rue Dyte,Saint-Rémy-L'Honoré,78690,78,48.7657275, 1.8859331,SARL Renard,01 34 87 90 01,http://renard-maraicher-biologique.fr,,,non,non,,,,,,,,,,,,,,
Haute Vallée de Chevreuse,produits,Produits divers,Parc du Château,Rambouillet,78120,78,48.7425022, 1.7863302,Boutique Gourmande de la Bergerie nationale,01 61 08 68 19,http://www.boutiques-gourmandes-terroir.fr,,,non,non,,,,,,,,,,,,,,
Haute Vallée de Chevreuse,produits,Boulangerie,Le Champart,Cernay-la-Ville,78720,78,48.6673034, 1.9921888,Ferme du Champart,01 34 85 14 67,4,,,non,non,,,,,,,,,,,,,,
Haute Vallée de Chevreuse,produits,Produits divers,60 rue du Champ des Courses,Rambouillet,78120,78,48.6426481, 1.8557093,Ferme de la Villeneuve,06 11 50 33 87,NC,,,non,non,,,,,,,,,,,,,,
Haute Vallée de Chevreuse,produits,Viande / Volaille,1 route de l'Étang de la Tour,Vieille-Eglise-en-Yvelines,78125,78,48.6772121, 1.8716797,Ferme de la Quoiqueterie,01 30 41 16 01,http://lafermedelaquoiqueterie.blog4ever.com/,,,non,non,,,,,,,,,,,,,,
Oise – Pays de France,balades,A pied,"Place de l'Église
  ‎",Plailly,60128,60,49.102846, 2.584212,Au creux des bois,NC,NC,"Plailly, des champs aux bois","Curiosités : la plaine de Plailly, formée des calcaires de Saint-Ouen couverts de Limon ; la dune du bois de Morière,  plantée de pins, seule valorisation possible ; les prairies humides de la Thève, qui jouent un rôle fonctionnel fondamental en termes de régulation du débit des cours d’eau et de préservation de la qualité de l’eau.",non,non,"Sur le parvis de l'église Saint-Martin, à Plailly (60).",,https://mapsengine.google.com/map/viewer?mid=zVoqBjKkBrAk.kanAMS6KiSQ0,10,2h40,,,,,,,,,
Oise – Pays de France,balades,A pied,,Pont-Sainte-Maxence,60700,60,49.309834, 2.602753,Autour du Mont Calipet,NC,NC,De la vallée de l'Oise à l'abbaye royale du Moncel.,"En remontant de la vallée vers le plateau, on parcourt d’abord une pente sablonneuse où les pluies ont creusé, avec le temps, de nombreuses ravines et cavées caractéristiques de cette zone. Par contre sur le plateau, le calcaire en masse est abondant, la couche peut dépasser par endroit 50 mètres d’épaisseur.",non,oui,"Devant la gare de Pont-Sainte-Maxence (60), rue de la Paix.",,https://mapsengine.google.com/map/viewer?mid=zVoqBjKkBrAk.kv4NLQ8RMz84,"8,4",2h30,,,,,,,,,
Oise – Pays de France,balades,A pied,,Survilliers-Fosses,95470,95,,,En pays de France,NC,NC,"Découvrir la vallée de l'Ysieux, entre Fosses et Bellefontaine.","Curiosités
. L’église de Fosses, nichée au fond d’un vallon creusé par la rivière Ysieux.
. Le musée ""Archéa - archéologie en Pays de France"" de Louvres, qui met en valeur la riche tradition potière de la vallée.
. Le château de Bellefontaine, construit au XVIIe siècle, aujourd'hui maison de retraite.",non,oui,,"Devant la gare de Survilliers-Fosses (95) , accessible en RER D.",https://mapsengine.google.com/map/viewer?mid=zVoqBjKkBrAk.k_B6Alj3Qw8I,"12,5",3h30,,"L’église de Fosses, nichée au fond d’un vallon creusé par la rivière.","Le musée ""Archéa - archéologie en Pays de France"" de Louvres, qui met en valeur la riche tradition potière de la vallée.","Le château de Bellefontaine, construit au XVIIe siècle, aujourd'hui maison de retraite.",,,,,
Oise – Pays de France,balades,A cheval,Parc de Verneuil,Verneuil-en-Halatte,60550,60,49.2691, 2.51615,L’antique forêt d’Halatte,NC,NC,Verneuil en Halatte – Fleurines – Aumont en Halatte,"Au XVIIe siècle,  le Grand Condé, prince propriétaire du château de Chantilly, demande au célèbre jardinier Le Nôtre d'améliorer la circulation équestre dans le massif des Trois Forêts. Une centaine de poteaux indicateurs, aujourd'hui numérisés, renseignent toujours les cavaliers et les promeneurs.",non,non,"Au centre équestre de Verneuil-en-Halatte (60), accessible par le chemin du Plessier ou le chemin des Tourelles.",,https://mapsengine.google.com/map/viewer?mid=zVoqBjKkBrAk.kzg6H8RbsvW0,29,3h30,,"Le musée  de la Mémoire des murs, à Verneuil-en-Halatte, recèle plus de 3.000  moulages d’inscriptions et de reliefs évoquant la vie quotidienne de leurs auteurs.","Les ruines d'un temple votif gallo-romain, dédié à la guérison, abandonné au début du Ve siècle, avec l’arrivée du christianisme.",,,,,,
Oise – Pays de France,balades,A vélo,,Ermenonville,60950,60,49.195627, 2.608971,La forêt d'Ermenonville (parcours 2),NC,NC,,"La route forestière de la Route Longue parcourt une partie de la forêt d'Ermenonville. La forêt abrite de très beaux sites mêlant landes et blocs de grès et fut plantée au XIXème siècle essentiellement en Pin sylvestre, seule essence capable de croître sur ces sols pauvres.",non,non,"Départ du quartier de Villemetrie, à proximité de Senlis (60)",,https://www.google.com/maps/d/viewer?mid=zVoqBjKkBrAk.keHH13XQBV00,22,2h,,,,,,,,,
Oise – Pays de France,balades,A cheval,"48, rue d'Hérivaux",Orry-la-ville,60560,60,49.128966, 2.505904,La forêt des Princes,NC,NC,Orry-la-Ville - Chantilly,"Grâce à son sol, meuble en surface, plus compact à faible profondeur et toujours bien drainé, le massif de Chantilly est reconnu comme un terrain idéal pour l’entraînement des chevaux de galop. 120 kilomètres de pistes en sable leur sont dédiés. 2.200 personnes vivent aujourd’hui de cette activité, autour de 3.000 chevaux.",non,oui,"A la maison du Parc - 48, rue d'Hérivaux, à Orry-la-Ville (60).",,https://mapsengine.google.com/map/viewer?mid=zVoqBjKkBrAk.kXOhvpEbhRPw,30,3h00,,"Situé au bord de la Nonette, le Pavillon de Manse raconte les différents usages de l'eau.","Les étangs de Comelles, créés au cours du XIIIe siècle pour être utilisés comme viviers à poissons.",,,,,,
Oise – Pays de France,balades,A pied,3 rue de l'Eglise,Montépilloy,60810,60,49.20877, 2.698267,Une grande échappée,NC,NC,Toute la plaine du Valois se dévoile en haut du donjon de Montépilloy.,"Sentinelle déchue, le formidable donjon de Montépilloy (45 m de haut), bâti au XVe siècle, domine toute la plaine du Valois et se souvient encore de sa gloire passée, lorsque Jeanne d’Arc, de retour du couronnement de Charles VII à Reims, battît les Anglais sous ses murs en 1429.",non,non,Sur le parking du cimetière - Rue de l'église 60810 Montépilloy,,https://mapsengine.google.com/map/viewer?mid=zVoqBjKkBrAk.kYnXSi2t9ums,"9,5",2h30,,"La grange dîmière céréalière de Fourcheret, construite à la demande des moines pour stocker les impôts que les fermiers des environs leur versaient en nature.","Aménagée par l’homme, la mare abreuvoir est le lieu de vie d’une faune insoupçonnée.","Beaulieu Le Vieux, ancienne ferme du XVIe siècle juchée sur la crête de la montagne de Rosière.",,,,,
Oise – Pays de France,hebergement et restauration,chambre d'hôtes,"Route de Baillon, à la sortie du village de Chaumontel",Chaumontel,95270,95,49.132981, 2.412096,Beauvilliers,01 30 29 99 61,http://www.beauvilliers.com,"Un ancien relais de chasse du XVIIIe siècle situé dans la vallée de l’Ysieux, entre forêt et champs. Direction : Doris Mandy.",,non,non,,,,,,,,,,3 chambres,,,,
Oise – Pays de France,hebergement et restauration,gîte de groupes,"1, place Jean-Baptiste Moquet",Chamant,60300,60,49.22413, 2.6367616,La Cour Lalouette,06 75 91 19 41,http://www.lacourlalouette.fr,"Deux gîtes de caractère aménagés dans les dépendances d’une ferme domaniale, classée “Ferme remarquable” pour son caractère authentique du Valois. Direction : Constance Delacommune de Grave.",,non,non,,,,,,,,,,10 personnes,,,,
Oise – Pays de France,patrimoine,Lieu d'histoire,"Château de Chantilly,",Chantilly,60500,60,49.193896, 2.485359,Domaine de Chantilly,03 44 27 31 80,http://www.domainedechantilly.com,,"Bâti sur un rocher, le château de Chantilly semble se mirer dans les bassins qui l’entourent. Son reflet dévoile au premier plan le petit château, véritable joyau de l’architecture Renaissance. Au second plan, le château avec ses grands appartements a été reconstruit au XIXe siècle par le Duc d’Aumale, dernier héritier de la famille des Condé. Cette demeure princière unique, témoin de l’Histoire de France depuis le Moyen-âge, abrite aujourd’hui l’un des plus beaux musées français de peintures anciennes et une précieuse collection de livres rares. Quant à son immense parc, dessiné par Le Nôtre à la fin du XVIIe siècle, il promet d’agréables flâneries à la recherche de trésors secrets.",non,oui,,,,,,,,,,,Consulter le site Internet du domaine pour connaître les horaires des différents espaces.,,NC,NC
Oise – Pays de France,patrimoine,Musée,Place de Piegaro,Verneuil-en-Halatte,60550,60,49.2739, 2.516495,Musée de la Mémoire des murs,03 44 24 54 81,http://www.memoiredesmurs.com,,"Créé par Serge Ramond, collectionneur assidu de graffitis, le musée de la Mémoire des Murs recèle plus de 3.000 moulages d’inscriptions et de reliefs évoquant la vie quotidienne de leurs auteurs.",non,non,,,,,,,,,,,Tous les jours (sf mardi) : 14h-18h. Visites guidées sur rendez-vous pour les groupes.,,NC,NC
Oise – Pays de France,patrimoine,Musée,Place du parvis Notre-Dame,Senlis,60300,60,49.207053, 2.585005,Musée de la Vénerie,03 44 29 49 93,http://http://www.musees-senlis.fr/,,"Très particulier, le Musée de la Vénerie de Senlis évoque une tradition régionale ancestrale : la chasse à courre. Peintures, dessins, gravures, armes, tenues d’équipage et trophées forment plusieurs expositions thématiques, présentés dans le superbe logis XVIIIe siècle du prieuré Saint-Maurice.",non,oui,,,,,,,,,,,"Mardi : 14h-18h
Mercredi, jeudi et vendredi : 10h-12h et 14h-18h.
Samedi, dimanche et jours fériés : 11h-13h et 14h-18h.",Accès gratuit aux collections permanentes le premier dimanche de chaque mois.,NC,NC
Oise – Pays de France,patrimoine,Lieu d'histoire,Office de tourisme : Place Notre- Dame,Senlis,60300,60,49.20646, 2.585485,Secteur sauvegardé de Senlis,03 44 53 06 40,http://www.senlis-tourisme.fr/,,,non,non,,,,,,,,,,,,,NC,NC
Oise – Pays de France,produits,Produits laitiers,63 Grande-rue,Pontarmé,60520,60,49.1539427, 2.548999,Ferme de la Thève,03 44 54 62 68,NC,,,non,non,,,,,,,,,,,,,,
Oise – Pays de France,produits,Fruits / Légumes,15 rue des Bordes,Montépilloy,60810,60,49.210757, 2.695363,Le jardin de fraises,06 76 63 81 82,http://cueillette.jimdo.com/,,,non,non,,,,,,,,,,,,,,
